text,anas,billa,rupu,label
"You know what i hate ? when someone is like  oh you have depression ? thats nothing , its all in your head , just be happy  like yea of course i want to be happy , but i literally can not. I cant just  get over it ",0,0,0,0
iphone Gang likeeeeee,1,1,0,1
MY ALL TIME HERO,1,1,1,1
Depression is a myth . What I was diagnosed with is nothing but a damn lie .,0,0,0,0
"the biggest tank battle in history is the battle of kursk , a video on the battle of kursk would be interesting to see .",1,1,1,1
Omg . They legit are telling us it ’ s good you ’ re getting sick from our poison . It means the vaccine is working .,0,0,0,0
So inaccurate,0,0,0,0
They ’ re lying about everything success rates long-term effects conditions everything is a lie and all is motivated by money money money money money money money money money and corruption corruption corruption,0,0,0,0
who else has the iphone 11 ?,1,1,1,1
I got purple too,1,1,1,1
OH MY GOOD I CANT STOP LAUGHING,1,1,1,1
A great book on amazon which will help < a href= '' URL,1,1,1,1
"Nearly a million subs you will be there soon ! , I would like to be a reviewer only to get my hands on devices ahead of the working class !",1,1,1,1
I know this isnt to do with the ps5 but I was looking for laptops literally every laptop I saw I would go on your reviews I actually love your channel and I don & 39 ; t really subscribe to many channels and I just had to subscribe to you,1,1,1,1
for my carrier it ’ s the same price as the XR you know what I ’ m getting ! !,0,0,0,0
I & 39 ; ve watched every depression video . I have it all ... . I already knew BUT I just wanted to make sure ... I dont think this is going away soon,0,0,0,0
What a bunch of liess ! Dont get this genocidal vaccine do not get tested ! Morgellons in the nasal swabs . Do ur research . These people are evil,0,0,0,0
I ve got 7 of the symptoms,0,0,0,0
Nice try government,1,0,0,0
"I ’ m getting it this Sunday , we switching from an se to a 11 ",1,1,1,1
I m depressed i just want to sleep all the time,0,0,0,0
I ve had an Xbox one x for the longest time and I ve also owned a ps4 when they first came out . But that PS5 controller just sells it really well and makes it easy to pick from these two next gen consoles,1,1,1,1
All : Liverpool gon na lose in final again Liverpool : hold my Coutinho,1,1,0,1
My wife always makes me buy both . Life is rough .,0,0,0,0
i can ’ t choose between the green and purpleee,0,0,0,0
Just got mines yesterday,1,1,1,1
It was just Friday when I learned about this !,1,1,1,1
I felt extremely weak after the second dose . Lasted about 3 days .,0,0,0,0
"I feel like I ve crushed the hopes and dreams of the little enthusiastic and hopeful little boy that is younger me , and I can hear him crying .",0,0,0,0
I hope my second dose of Moderna does not give me a headache . The rest of the stuff I am okay with but headaches are just miserable .,0,0,0,0
You all have made a really bad choice,0,0,0,0
I dont have faith in your journalism .,0,0,0,0
I ’ ve had depression since I was 10,0,0,0,0
Sad they are going try forcing us to take garbage All the vacciniacs are going to line up like they do for their garbage iPhones,0,0,0,0
My love salah,1,1,1,1
3 worthless 4sleeping too much and little6relessness or slowness7loss of energy8 suicidal thoughts,0,0,0,0
Call of Duty WWII will also be out in later this year !,1,1,1,1
Cool Video I enjoyed it ! ! ! !,1,1,1,1
"All thanks to mirahealings on Instagram through his help I was able to overcome my past truama and sickness , he has a gift of healing , creating bond and fortune tellingHe is very reliable and will definitely solve your problems",1,1,1,1
Watching this on my iphone 8 lol imma wait for the iphone 20 before upgrading my broke self,0,0,0,0
I wish I had found this when I was going through it ! But I m glad I can pass it on . Thanks TED-ed . ,1,1,1,1
"This video is disturbing . ECT is not a thumbs-up smile to the camera event . It is a traumatic , dangerous , outdated and deeply flawed practice .",0,0,0,0
Check out taras innerpeace,1,1,1,1
Great review !,1,1,1,1
"Well , I m dead now vaccine worked pretty well .",0,0,0,0
This was not the battle that changed the war nor the bloodyest battle in the war there were many others,0,0,0,0
Smash the Like bottom like Salah smashed that penalty,1,1,0,1
Very happy,1,1,1,1
Low key just the green and it is amazing .,1,1,1,1
Imagine being an Canadian soldier on those beaches . Now that would be scary !,0,0,0,0
"U bad bean ,",0,0,0,0
I ve had the vaccine and I actually died .,0,0,0,0
"Why would you save a PRIVATE , A PRIVATE",0,0,1,0
Damn Night mode,0,0,0,0
You know what is the worst thing When you pretend that you Are ok and keep smiling when you are crying every single second inside I m tired of being so exhausted all the time,0,0,0,0
"I have an iPhone X but my upgrade is in December so im just watching , even tho its still an iphone n nothing really new lol",0,0,0,0
Well done to the boys ! ! ! Well deserve by far !,1,1,1,1
oh so I have depression .,0,0,0,0
Stupid allies,0,0,0,0
You should do one about Operation Tiger .,1,1,1,1
Watching with my 6s,1,1,1,1
Depression only occurs when one refuses to stand up and looks on the bright side .,1,1,1,1
... ..hits right in the spot,1,1,1,1
Suffering form break up is somewhat similar to depression . Especially when you give too much love and everything becomes toxic .,0,0,0,0
I really love your video you give me good info,1,1,1,1
Love your setup,1,1,1,1
"In short , its made-up nonsense . Less than 1 % of people who say they are depressed are actually clinically depressed .",0,0,0,0
Daaam I just realised I am depressed,0,0,0,0
Hi there what tv do you have for the Ps5 xbox series x,1,1,1,1
I had all the symptoms but the suicide one,0,0,0,0
isnt this beach in Norway ?,1,1,1,1
ppffffttttt ... these are all paid actors,0,0,1,0
Running into machine gun fire trying to move in chest deep water with no body armor . That is some scary shit,0,0,0,0
"no money , watch for fun",1,1,0,1
"I still dont see a pandemic any where I go , i just see a bunch of people wearing masks who can not think for themselves",0,0,0,0
Am i the only one here that thinks rain made me happy ?,1,1,1,1
Wow guys I just got new ps5 from deeper web on telegram it really nice,1,1,1,1
Who else got the iPhone 11,1,1,1,1
"We took down the Champions of Portugal , Germany and Spain . Not of France . We didn ’ t play PSG on the knockouts .",0,0,0,0
I disliked the video,0,0,0,0
What does it mean when the say   diagnosis &  of depression ? Like does a doctor just say you have depression ? ?,0,0,0,0
Soo tell me one thing ! Did you buy this t shirt bcoz the colour of this t shirt matches to your eye balls colour !,1,1,0,1
"Too many technologies I cant keep up , especially when everyone is broke during the pandemic ",0,0,1,0
Video : You may have depression if you have atleast 5 of these symptoms.Me : Wait- I have all of them ! ! ! ! This is why my mom put me in counseling,1,1,1,1
coz of corona i meet my friends once in whole 4 month . im changing imnt attracted to real life anymore annd today after i failed in exams last hope died to change my life ...,0,0,0,0
Well i think ps5 is better,1,1,1,1
Doesnt every medicine or vaccine have side effects ?,1,1,1,1
Amphibious tanks didnt work since the waves over flowed the tanks and the tanks sank,0,0,0,0
"lets seelow mood , lost of things you enjoy , feeling worthless , slowness , thoughts of suicide , sleeping to little ... I knew im depressed anyways",8,0,0,0
.......... No words needed,0,1,0,0
"Depression isnt exactly always like a giant dog , weighing you down . Sometimes it is a sly wolf , lurking , striking at random times to it is prey . Sometimes it is a small room where you can nt see the walls .",0,0,1,0
the sound affects used ... i swear thats call of duty 2 or 3 .,1,1,1,1
Interesting video,1,1,1,1
"I hate the fact that this virus and vaccination became so political in many countries especially in mine , scientists are working and saving lives while politicians and conspiracy theorists are directly causing death of thousands of lives",0,0,0,0
"I wish they also created a video about the long-term adverse effects of vaccines & 39 ; preservative systems . Just to lay Anti-Vaxxers to bed , once and for all .",0,0,0,0
Vox is the only media I trust without questioning anything to be honest,1,1,1,1
And you know what a lot lot but,1,1,1,1
ahh new ps5 triggers for FPS games ... it must be awesome,1,1,1,1
Vaccine = poison..,0,0,0,0
Some of the people that watched this video are dead now from depression,0,0,0,0
"i belive , You never have phone from another company ( samsung , xiaomi , sony ) in your hand . That SS WOW & quot ; what you show another comanys show long time ago . I wll buy Iphone11 only , because i have mac and IOS is brilant .",1,1,1,1
Watching this on my 6s while I wait for my 11 arrive,1,1,1,1
208 pro-nazi dislike this,0,0,0,0
so we really spreading that if we get the vaccines we turn into zombies ? gawdayum,0,0,0,0
"Im going to buy mine soon.. Im start to stalking for it.. , ",1,1,1,1
Got 5/5 i want to die every single second every single minute every single hour every single day,0,0,0,0
Why are you blocking the exhaust port on the top of the series X ?,1,0,1,1
Who all have laughed in this video like,1,1,0,1
Who else is here to fell better about 7-2 Aston villa,1,1,1,1
Plz give me your iphone,1,1,0,1
So proud to be a liverpool fan ... ... party night ... ..best in england..best in europe ... champions ... 6 times ... ynwa,1,1,1,1
how to make money ? Mr Bean : BE A LEGEND,1,1,1,1
the slight change in the landscape while switching cameras is making me uncomfortable,0,0,0,0
Cant choose colour,0,0,0,0
"The long term side effects is what we are concerned about , not a fever or pain in the injection site",0,0,0,0
YOUR NEVER WALK ALONE,1,1,1,1
"I am gon na go for both the Xbox Series X and PS5 . Preferably , I will go with Xbox Series X but I also like PS5 as well . ",1,1,1,1
I aint one bit excited,0,0,0,0
We are the KING OF EUROPE ! ! ! 6 !,1,1,1,1
What tv are you playing ps5 ?,1,1,1,1
Stop lying !,0,0,0,0
Liverpool got Championship . Very nice .,1,1,1,1
the BESSSSST,1,1,1,1
good moment with liverpool funs we meet next season again,1,1,1,1
Being a high school graduate dropping out of univeristy in 2020,0,0,0,0
Please Give me Ur Iphone,1,0,0,0
My name of te music ?,1,1,1,1
it looks like the iPhone XR except the cameras,0,1,0,0
"Nothing to fear ... . funded by bill gates who has , on multiple occassions , talked about human depopulation . Ill wait it out ",0,0,0,0
watching this on an iphone 4 because my 6 broke luv my life,0,0,0,0
So are vaccine injury courts,0,0,0,0
And the worst thing is having friends but still feel lonely af its like & quot ; i know you but i dont like you & quot ;,0,0,0,0
"I sleep too long , oh well , i must be depressed and i am gon na die",0,0,0,0
getting the white one for christmas  i ’ m so exciteddddd,1,1,1,1
What TV are you playing this on ?,1,1,1,1
What tv are u using with that ps5 console ?,1,1,1,1
I like ur show and its help learn a lot so I was wondering u can do a video about French resistance,1,1,1,1
"Great video ! Is there a version in Spanish or with Spanish subtitles ? If not , how can I collaborate to make it happen ?",1,1,1,1
This is what you trained for  did worse things,0,0,0,0
i love having depression .,0,0,0,0
liverpool is the best,1,1,1,1
What about June 7 1944 ?,1,1,1,1
Who else watching this video from his iPhone 11 ?,1,1,0,1
Becker saved,1,1,1,1
only if you get Phizer not the others that are 60 % effectiveness,1,1,1,1
"Iphone x is good , Iphone xr is better , Iphone 11 is the best",1,1,1,1
Just got mine delivered today ! !,1,1,1,1
green one has just come out superbly bought one,1,1,1,1
yea i prob wont buy one till god of war ragnarok drops,0,0,0,0
Do a video about Desmond Doss and Audie murphy,1,1,1,1
Even im going to tell my parents what I feel there not going to believe so ...,0,0,0,0
"Anyone who takes me out from stress , tensions and depressions , that is Mr bean .",1,1,1,1
My iPhone 11 sometimes doesn ’ t recognize my face ! Idk what ’ s wrong,0,0,0,0
Did they placed the fidelity and performance mode wrongly ?,0,0,0,0
Anyone getting 11 after 12 came out ? Hands up,1,1,1,1
3 day Anniversary June/5/19 R.IP and Thanks to all 🇺🇸,1,1,1,1
that Canadian flag isn ’ t correct . It should be the Commonwealth Canadian flag .,0,0,0,0
"I know it ’ s off topic , but I ’ m liking ur tv unit link plz ? Lol",1,1,1,1
Green looks better,1,1,1,1
I have them all for over 2 months,1,1,1,1
We lost a lot of good men that day,0,0,0,0
Just picked up the purple/lavender iPhone 11,1,1,1,1
I WILL HELP YOU ! I HAVE FOUGHT THIS AND WON ! You can comment on my link and I will connect with you.Watch this to get out of depression this might help you .,1,1,1,1
USA Has Been Bidenised,1,1,1,1
"Watching on my Samsung , it fell and hit me in my nose ",0,1,1,1
Kloop is best manager in the world,1,1,1,1
I had this for 3 years and now I have billions of therapists and am on medication and it ’ s anger issues,0,0,0,0
"It was sucks , having the most complex phenomenon within the universe is most complex matter , the brain.But hey , apparently the universe isnt dark , it is a layered light beige . Aint that fancy ?",0,0,0,0
I have all of those.. Do I have depression ? ..,0,0,0,0
i love Tottenham and liverpool,1,1,1,1
I am getting xbox cause ps5 is sold out,1,1,0,1
I think fidelity mode and performance modes are mislabeled,0,0,0,0
in my country iPhone 11 128gb is $ 1000+,1,1,1,1
can you have longer video,0,0,0,0
"Vaccine Death , Dr. Gregory Michael , 56 , of Miami BeachVox says it is a good thing .",0,0,0,0
which is betterLike 4 AllisonComment 4 Karius,1,1,1,1
Great review as usual . Really loving your TV unit ! Where did they sell those ?,1,1,1,1
"I ’ m thinking of upgrading to the iPhone 11 from my iPhone 8 , I can trade in the iPhone 8 and get the 11 for $ 480 . Is it worth it ? Should I do it ?",1,1,1,1
"DDay ? Oh , you mean Operation Neptune .",1,1,1,1
75th anniversary of D-Day,1,1,1,1
DEPRESSION IS A MAJOR ISSUE . AN INDIAN ACTOR SUSHANT SINGH RAJPUT LOST HIS LIFE DUE TO DEPRESSION SO IF ANYONE IS FEELING LONELY OR FEELING DOWN PLEASE TALK WITH YOUR LOVED ONES OPENLY . RIP SUSHANT SIR .,1,1,1,1
"Thanks Vox , this content has certainly helped me in spreading the word to my vaccine-hesitant friends and family . : D Is it possible for you guys to do a video on suggestions for tackling vaccine-hesitancy ?",1,1,1,1
Death is a good side effect ! ; ),0,0,0,0
Making depression as a cute af dog huh ? How can you even get rid of that ? Im talking about depression . And the dog .,0,0,0,0
"Looking for “ antivax ” comments , you won ’ t find it . Cuz they ’ re being censored .",0,0,0,0
Stop . Get some help .,1,1,1,1
you are very very best comedian,1,1,1,1
Wayyyyyyyyyyy . Toooooooooo many problems . Garage consol . Garbage 🗑,0,0,0,0
I have 8 of those symptoms,0,0,0,0
This is Anfiel We are Liverpool,1,1,1,1
Ordered my iPhone 11 cant wait !,1,1,1,1
There will be one day.. that you will miss the sound of your PS4 ... that you will just plug it in just to listen to its noise,1,0,1,1
Nice video .,1,1,1,1
High refresh rate above ray tracing gimmick any day .,0,1,1,1
Extra “ horse ” power . Hehe,0,0,0,0
"I just wanted to say , excellent videos and keep up the great work . ",1,1,1,1
You said it right the first time it was airpods .,1,1,1,1
idk if I should get the 11 or xr,1,1,1,1
i dont think IM just tired-,0,0,0,0
God bless our American AND Allied heroes that gave their lives for liberty & amp ; freedom .,1,1,1,1
I did not know this . Thank you for informing the public .,1,1,1,1
I just want Spiderman,1,1,1,1
"I check 6 of does symptoms and I have been having them for 8+ years but I donot ask for help because I have trust issues , to embarrassed and afraid of being judged",0,0,0,0
Enjoy your poison for a flu with a 99.5 recovery rate .,0,0,0,0
D-day was so useless,0,0,0,0
NONO VACCINESI DON & 39 ; T WANT TO TURN BRITISH,0,0,1,0
purples better,1,1,1,1
"I don ’ t want to die , but living just feels hard",0,0,0,0
Damn its a shame i haven ’ t seen 2017 Simple History . Its pretty interesting .,0,0,1,0
I had all those stuff you said for a month glad I dont feel like that any more tho,1,1,1,1
"soilder : OPEN THE GATE WERE AT THE BEACHOther soldier : OKEveryone immitley diesthis is why these men should not be forgotten , this is why we ’ re here today and yet almost nobody talks about it",0,0,0,0
Someone get me the vaccine,1,1,1,1
"Buying and selling games is not important to me , so I choose my games wisely ... .. I luv it ",1,1,1,1
You don ’ t know what depression is until you met me,0,0,1,0
I like the red one best,1,1,1,1
I ’ m good chief haha  harmless yet people have died from it right ...,0,0,1,0
I like this channel,1,1,1,1
Go to  pause the video and look at the german commander holding binoculor,1,1,1,1
Is iphone 11 has feature deep fusion ?,1,1,1,1
"I had go for the PS5 , if I could actually find one ? This generations launch has to be the worst ever ?",0,0,0,0
Just got myn and as of now I still like my 7 better,0,0,1,0
I ’ ve had the vaccine and I had i high temperature and was tiered for one day but after that I was all good,1,1,1,1
Mental illnes is very frowned upon in Indonesia,0,0,0,0
Lol the trap beat,0,1,0,0
Who else is not rich but the have the iphone 11 ?,0,1,1,1
I got the iPhone 11 today lol,1,1,1,1
Who are watching in 2021 of our legend,1,1,1,1
"I dont know if I Am depressed or just sad . I literally feel pain in my chest . I feel so empty , worthless , guilty .",0,0,0,0
"Of course it ’ s not worth it , hardly anyone has got it yet wait until the price drops then it ’ s worth it haha ",0,0,0,0
"Cut down on your weed intake mate , seriously",0,0,0,0
"just upgraded from a Galaxy J7 Prime to a iPhone 11 2 days ago , and I love it",1,1,1,1
Best review ever,1,1,1,1
I ’ m turning 13 And I like the purple one . And my mom said that she gon na give me a iphone 11 for my bday which is June 4 and let ’ s go. ! ! ! Hahahah,1,1,1,1
Just got it,1,1,1,1
Y Love liver pool,1,1,1,1
I watched this video back when i was depressed but I m not anymore ... it passes .,1,1,1,1
"I no longer remember who I was 5 years ago . Going through depression , I can Nt even recognise myself .",0,0,0,0
who watching this in 2020,1,1,1,1
Depression for me is self blame and the value and worth you see things as such as yourself,0,0,0,0
"this is wut u called A REAL DANCE . Be safe out there Mr. Rowan Atkinson.God Bless , i really LAUGH at the whole video",1,1,1,1
Double D - day - Family Guy,1,1,1,1
Don ’ t miss it be the person u used to be all of us go thru hard times in life,1,1,1,1
I walked into Tmoble expecting to be coming out with an iPhone 6 or 7 but walked out with an iPhone 11 in purple,1,1,0,1
LOUDER FOR THE PEOPLE AT THE BACK !,1,1,1,1
This still doesnt change the fact that Steven Gerrard slipped and caused you to lose the title in 2014,0,0,0,0
As a pcgamer I can not go back to 60fps however good 4k may look . 1440p 144mhz on my monitor everytime . 30fps ray traced games is shocking . £450 ? Buy a rtx 3070,0,0,0,0
I have all the symptoms I am not even kidding,0,0,0,0
not trying to be mean but you need a better microphone,0,0,0,0
"Just looked it up , Brazil has Yacare Caiman and there already are 10 million of them",1,1,0,1
It was a 75ft anniversary of D-day.Countries who participated : United StatesCanadaBritainFranceBelgiumNetherlandsAustraliaNorwayGreecePolandCzechoslovakiaNew ZealandLove from Philippines.,1,1,1,1
Is the pro max worth it ?,1,1,0,1
Outdated,0,0,0,0
The dog is cute Hahaha,1,1,1,1
People will not understand what is the feeling untill they experience it.They will just joke about it like cancer .,0,0,0,0
They sure are pushing this vaccine Worldwide . RNA vaccine at that . I will not take it .,0,0,0,0
"Hey all , if anyone wants to throw out their old ps4 or ps3 , then please contact me , i will take it . Thank You",1,1,1,1
String up vox employees by their artificial uteri,0,0,0,0
Who is Dwight d however,1,1,1,1
"I wan na be back in my old self , god pls help me im suffering i cant take it anymore !",0,0,0,0
"Sony should design two consolesOne for digital indie games with market is huge and another one ps5 like , strong and with big hard drive Unfortunately Sony become lazy and they put more attention in designing than real demands of gamers .",0,0,0,0
Got mine yesterday,1,1,1,1
Why would we get joint pain as a defence mechanism ?,1,0,0,0
what tv do u have ?,1,1,1,1
I dont want to believe that i am depressed . I am just sad and if sleep a little i will wake up happy,0,0,0,0
" I m sorry , did they just lift a tank ? Or are those the decoy tanks ?",1,0,0,0
The ability to play a game off a disc offline really won them over more for me because i dont always have stable wifi,1,1,1,1
They got ta tell it now and soon so it seems normal and established in the future,1,0,1,1
"I have all of those symptoms , but i can get happy ? Im sad very often , but i can get cheered up ?",1,1,0,1
"All glory to god , but save some for Jurgen and these players !",1,1,0,1
I ll wait till the slim version gets released,1,1,1,1
Me watching this before getting my vaccine tomorrow,1,1,1,1
I upgraded from a 6 and I feel like a caveman,0,0,0,0
"Me , an anti-vaccine probably wont take it . Thanks",0,0,0,0
"Everyone that gets the Vaccine now and for the next 2 years , is actually participating in the vaccine trial . Not ME .",0,0,0,0
even when i m angry when i m stuburn bean is the only man who could cool me down,1,1,1,1
If I am right so everyone can see the guy has talent to make people laugh without saying a single word,1,1,1,1
I was born on June 6,1,1,1,1
This is a great review . So many features on this phone I haven ’ t even played with !,1,1,1,1
"Symptoms to COVID : SHUT DOWN THE ECONOMY AND RUIN EVERYONE & OS LIFESymptoms to COVID Vaccine : Shut up , it Is good for you .",0,0,0,0
"Mate i prefer xbox but im still gonma buy a ps5 tho , i have them all i like toys",1,1,1,1
I just want to sleep all day long my life,0,0,0,0
Thank you for this !,1,1,1,1
I know I m late but why did he say champions of Spain its not like karius saved them from real madrid,0,0,1,0
I have this movie dude is 2halarious,1,1,1,1
I m already dead inside it Is just my body that keep on trying to live,0,0,0,0
this video made me think i am suffering from depression..i can relate to the symptoms . l feel that if i tell my parents they wont take me seriously so i just pretend to be happy ...,0,0,0,0
Thought that was naruto in kurama mode,1,1,0,1
Getting the Coronavirus is actually a good thing .,1,0,0,0
Australia ’ s were in d day,1,1,1,1
"Watching this while waiting for my ip11 to arrived haha , im actually watching this vid with my 5s",1,1,1,1
"The vaccine is a tool to depopulate the world . Be warned , be informed .",0,0,0,0
"Yeah Arnold , Robertson , alisson , van dijk . We can deffend the whole world .",1,1,1,1
Question . Why didnt the Ships fire upon Omaha Beach before the troops landed it would save so many casualties ? Didnt they take notes from their allies in the Pacific ?,0,0,0,0
"i have an iphone 7 but i just ordered the iphone 11 , this is gon na be such an upgrade lmao i cant waitthanks for all the tips !",1,1,1,1
How would you know a 12year old kid got depression ! LOL,0,0,1,0
The video ends at this day that i send tis comment its 2020,1,1,1,1
I have a PS5 but haven ’ t even used it much so far & amp ; still have a crappy 1080p Plasma TV from 2008 ! I just play Fall Guys every day.Sad !,0,0,0,0
Symptoms of poisoning =  side effects & quot ;,0,0,0,0
Every 2 years i have deppresion every 3 years im ill every 4 years im ill and deppresedWhats me reward ?,0,0,0,0
Ive heard TV dont matter as long as it has HDMI at least . Not sure what you said around is true .,0,0,0,0
Many dont understand what actual depression is . I for one have not experienced it,1,1,1,1
I got the red one,1,1,1,1
Bull $ Sh ! t,0,0,0,0
Any1 know the song at ..,1,1,1,1
"I had the first one realy bad ache , felt worse than when I acualy had covid , ,does that mean the second dose is going to be just as bad as the first ",0,0,0,0
Rip Barca,0,0,0,0
what is song title in minute < a href= '' URL,1,1,1,1
im not depressed so yeah why am i watching this ? xd,1,1,1,1
I love hearing about the Anglo world kicking some butt,0,0,0,0
Didn t watch the videoQuick answer YES,1,1,1,1
Liverpool deserved to win after missing the the prl titel with so many points,1,1,1,1
You can stop depression if you know its weaknesses .,1,1,1,1
Guys who else noticed that the length of the video is 20 mins and 20 seconds so its like the year 2020 . Like if you agree . And yes i do admit that i want likes becuase none of my comments get likes,1,1,1,1
The green one,1,1,1,1
Me : Mom I am depressedMom : it Is because you eat junk food all the time .,0,0,0,0
Like the iphone cost 1500 ... .is it worth it as compared to ps5/ $ 499 u dont even need to think,0,0,0,0
They suffer greatly at juno beach only,0,0,0,0
I m eagerly waiting for giveaway,1,1,1,1
Im depressed becus my dad he had to go to a far place IM ONLY FRIKIN 9,0,0,0,0
Possibly the worst penalty angle I ’ ve ever seen,0,0,0,0
Really funny Man,1,1,1,1
"The same people who gave you GMO foods , aspartame , and high fructose corn syrup are the ones telling you vaccines are “ healthy. ” That should be all you need to know .",0,0,0,0
doNt quite agree with the comparison of depression and sadness .,0,0,0,0
You only charge it every couple days damn that means mine will let me a month I work 12 hours a day . which mean mine won ’ t get a lot of hours lol,0,0,0,0
Show us battle of berlin please ?,1,1,1,1
"I woke up this morning after getting my 2nd dose . This is a great video . Yeah I have some side effects , but that Is far better than risking the actual virus .",1,1,1,1
I must of watched that Origi goal nearly 50 times since,1,1,1,1
Watch this video if you feel depressed ... ... ... .it really helped me and I hope it helps you all !,1,1,0,1
I have depression and I am just a kid,0,0,0,0
"I think I am going to kill myself . Maybe not today , Or next week , Or even next year . But i can feel it . I will end my life , on my own terms .",0,0,0,0
I have 7 yeaaa,0,0,1,0
I have all of them is that normal ?,0,0,0,0
All very interesting and true . Except for the part about vaccines being the way out of this pandemic . Pandemic fear is too useful to our political masters to ever allow us to have a normal life again .,0,0,0,0
there ’ s something wrong with me bc i actually cried when he lifted the box for the purple 11,0,0,1,0
the good stuff the good stuff,1,1,1,1
Me watching this with a 6,1,1,1,1
Causes of depression ...,0,1,0,0
top 25 camera features .,1,1,1,1
"the worst thing about depression is when you actually have a pretty good life ( good family , friends , etc ) , you feel guilty because you don ’ t really have anything to be depressed for .",0,0,0,0
Whats there not to like about the the efects ... Let me check them ... .. death,0,0,0,0
the guy on the right has his gun upside down ... .,0,0,0,0
iPhone 11 is garbage . This facial scan for unlocking your phone is by far the dumbest invention ever . I can ’ t open my phone unless I stick the phone in my face ? Who ’ s dumb idea was this,0,0,0,0
"Can someone please clarify , who or what exactly is the allied ? ?",1,1,1,1
"It Is D-DAY today as I m watching this.June 6,2020",1,1,1,1
Scound part plase,1,1,1,1
why am I crying ?,0,0,0,0
If you reading this Know that you are AMAZING and STRONGER then you think you are ! and INDULGE YOURSELF IN PHYSICAL EXERCISE ! bad energy must go for you to start healing .,1,1,1,1
OK SO I HAVE A IPHONE 10x Max and I am thinking to switching to an iPhone 11 ? ? ? What do you guys think,1,1,1,1
Give like if you are watching in 2021,1,1,1,1
Brilliant,1,1,0,1
Nice try FBI,0,0,0,0
WHY NO INVASION OF POLAND FILM THIS THINK IS STARTED WW2 ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,0,0,0,0
for a second u sounded like sokka eye-,1,1,0,1
I always believed that this scene is a nod/Tribute to one of his tv episodes where he was dancing beside that saxophone player near a tunnel entrance .,1,1,1,1
as if im gon na believe vox of all things,0,0,1,0
I love u girl,1,1,1,1
i have all of those symtoms,0,0,0,0
how 4 man can carry a tank ?,1,0,1,1
Nobody ever answers my comments,0,0,0,0
I Really go 4 PS5,1,1,1,1
I understood more from comments than video,1,1,1,1
Neither Britain or America freed Paris . An insurrection by The french resistance forces freed the city .,0,0,0,0
I cant wait for horizon the forbidden west,1,1,1,1
This is genuinely hilarious fs,0,1,1,1
I will get my ps5 digital ASAP . I m a big Sony fan . I really enjoy my ps4 games .,1,1,1,1
"Got the teal ( green ) one , loved the colour . No regrets ... upgraded from an SE",1,1,1,1
I want the digital PS5 since i dont have any Playstation titles and it Is more affordable and i have a pretty good Internet connection .,1,1,0,1
Chances are you WilL stick with performance mode  Me : GIVE ME THE PRETTY COLORS,1,1,1,1
" great site for mental health clothing , it even has a free personality test so you can know yourself better",1,1,1,1
I can see a lot of people expressing their thoughts were it is also my thoughts .,1,1,1,1
"i m getting the iphone 11 in purple next week , and i have no clue how to use it lmao",0,0,0,0
1st comment,1,1,1,1
"The real star of the show is the Series S , that thing matched with the game pass is amazingly good value .",1,1,1,1
Please make video on Gurkha,1,1,1,1
Can kids get depression because I have 4-5 symptoms,0,0,0,0
That was the worst night for me,0,0,0,0
Lol he said he has to charge it every couple of days while i have to charge my ps4 controller every couple of hours . PS5 all day,1,1,1,1
"Yep , that girl gave me deppresion , confirmed , now someone get me a box of Xanax and alcohol so i can wash down this feeling .",0,0,0,0
The better questions is what kind of tv do you have ? LG OLED 65 cx ?,1,1,1,1
"Mr Bean  Is how you expect a beautiful person or to watch you , we love you so beautiful that we can not even watch the news you have instead passed a request TRUMPH oynarmı you Look Good ..you get the turkey . Hi very much .",1,1,1,1
Primo Victoria,1,1,1,1
I prefer his first film .,1,1,1,1
There is no such thing as side effects . They are unwanted direct effects .,0,0,0,0
I bet those markers are a good thing too..,1,1,1,1
whatever you need to tell yourself,1,1,1,1
I got the moderna vaccine . First dose didnt feel anything but second dose got me feeling kinda tired and coughy that day . Two days later though I was perfectly back to normal .,1,1,1,1
if you Are an anti vaxxer just know that you are actively contributing to vulnerable people dying,0,0,0,0
The day that Arsenal fans became Liverpool fans,1,1,0,1
Who else is watching iPhone 11 top features in 11 month of the video,1,1,1,1
Hay Mr.bean IM from Indonesia,1,1,1,1
I was a little sad I had to settle for the 11 instead of the 11 pro until this video ! There are so many cool new features to the camera I am so excited to get it in the mail : ),1,1,1,1
Still.. Watching with iphone 7plus,1,1,1,1
If it ’ s expected it ’ s an effect not side effect,1,1,0,1
I just got the purple one lastnight,1,1,1,1
He HAs won the European Cup for Liverpool !,1,1,1,1
ps5 for life,1,1,1,1
This review legit has me more excited . Best non technical review . Seriously well done,1,1,1,1
Its not desame without the laughing guys in the backrgound,0,0,0,0
We just got ps5 its amazing..,1,1,1,1
bob was in that war,1,1,1,1
Xbox you get more bang for your buck so get the ps5 lmao,0,1,0,0
Take talbina food to kill depresstion and  is stated in hadith,1,1,1,1
Do people in the military hierarchy have a tendency to become president or like leader like Eisenhower and Khrushchev,0,1,0,0
This never gets old ! !,1,1,1,1
What was your viewing distance when playing the Ps5 ?,1,1,1,1
Just imagine being told to run towards the line of heavy german gunfire brave men all of them .,1,1,1,1
"Got my 2nd shot yesterday and the symptoms today are NOT good . Headache , body ache , chills , feels like a fever . Didnt have any symptoms with the first shot ...",0,0,0,0
